collage,Player,id,height,weight,born,birth_city,birth_state
,Ratko Varda,2840,216,117,1979,Bosanska Gradiska,Bosnia and Herzegovina
University of Alabama,Gerald Wallace,2841,201,97,1982,Sylacauga,Alabama
"University of California, Los Angeles",Earl Watson,2842,185,88,1979,Kansas City,Kansas
University of South Alabama,Rodney White,2843,203,95,1959,Tuskegee,Alabama
University of Arizona,Loren Woods,2844,216,111,1978,St. Louis,Missouri
University of Illinois at Urbana-Champaign,Robert Archibald,2845,211,113,1980,Paisley,United Kingdom
University of Michigan,Maceo Baston,2846,206,97,1975,Corsicana,Texas
Arizona State University,Mike Batiste,2847,203,102,1977,Long Beach,California
University of Maryland,Lonny Baxter,2848,203,117,1979,Silver Spring,Maryland
Duke University,Carlos Boozer,2849,206,117,1981,Aschaffenburg,Germany
,J.R. Bremer,2850,206,117,1981,,
Jacksonville University,Devin Brown,2851,185,72,1968,Jacksonville,Florida
Auburn University,Pat Burke,2852,211,113,1973,Dublin,Ireland
University of Connecticut,Caron Butler,2853,201,103,1980,Racine,Wisconsin
La Salle University,Rasual Butler,2854,201,97,1979,Philadelphia,Pennsylvania
Gonzaga University,Dan Dickau,2855,183,86,1978,Portland,Oregon
University of Maryland,Juan Dixon,2856,190,74,1978,Baltimore,Maryland
"California State University, Fresno",Melvin Ely,2857,208,117,1978,Harvey,Illinois
University of Iowa,Reggie Evans,2858,203,111,1980,Pensacola,Florida
"University of California, Los Angeles",Dan Gadzuric,2859,211,108,1978,Den Haag,Netherlands
,Manu Ginobili,2860,198,92,1977,Bahia Blanca,Argentina
,Gordan Giricek,2861,198,95,1977,Zagreb,Croatia
University of Kansas,Drew Gooden,2862,208,113,1981,Oakland,California
University of Tennessee,Marcus Haislip,2863,208,104,1980,Lewisburg,Tennessee
Auburn University,Adam Harrington,2864,196,90,1980,Bernardston,Massachusetts
Wingate University,Junior Harrington,2865,193,81,1980,Wagram,North Carolina
"California State University, Long Beach",Juaquin Hawkins,2866,201,99,1973,Gardena,California
,Nene Hilario,2867,211,113,1982,Sao Carlos,Brazil
Central Michigan University,Nate Huffman,2868,216,111,1975,Battle Creek,Michigan
University of Notre Dame,Ryan Humphrey,2869,203,106,1979,Tulsa,Oklahoma
Stanford University,Casey Jacobsen,2870,198,97,1981,Glendora,California
,Marko Jaric,2871,201,89,1978,Belgrade,Serbia
"California State University, Fresno",Chris Jefferies,2872,203,102,1980,Fresno,California
