prize,race_id,date,venue,race_no,surface,distance,going,horse_ratings,race_class,sec_time,win_combination
850000,404,11/5/1997,HV,8,0,1650,GOOD,80-60,3,27.98,11
625000,415,11/12/1997,HV,1,0,1200,GOOD,60-40,4,24.39,4
485000,416,11/12/1997,HV,2,0,1800,GOOD,40-10,5,13.74,1
625000,417,11/12/1997,HV,3,0,1650,GOOD,60-40,4,27.72,9
850000,418,11/12/1997,HV,4,0,1200,GOOD,80-60,3,24.08,3
850000,429,11/16/1997,ST,7,0,1000,GOOD TO YIELDING,80-60,3,13.24,13
850000,430,11/16/1997,ST,8,0,1200,GOOD TO YIELDING,80-60,3,24.81,12
850000,432,11/16/1997,ST,10,0,1400,GOOD TO YIELDING,80-60,3,13.55,4
1150000,433,11/16/1997,ST,11,0,1400,GOOD TO YIELDING,100-80,2,13.74,6
485000,434,11/19/1997,ST,1,1,1200,GOOD,40-0,5,23.2,7
850000,435,11/19/1997,ST,2,1,1200,GOOD,85-60,3,23.05,7
625000,436,11/19/1997,ST,3,1,1200,GOOD,60-40,4,23.67,4
485000,437,11/19/1997,ST,4,1,1650,GOOD,40-0,5,28.25,13
850000,438,11/19/1997,ST,5,1,1200,GOOD,80-60,3,23.45,5
625000,439,11/19/1997,ST,6,1,1650,GOOD,60-40,4,27.39,5
1150000,440,11/19/1997,ST,7,1,1650,GOOD,100-80,2,27.91,7
850000,441,11/19/1997,ST,8,1,1650,GOOD,80-60,3,27.25,6
625000,443,11/22/1997,ST,2,0,1000,GOOD TO YIELDING,60-40,4,13.84,1
625000,444,11/22/1997,ST,3,0,1200,GOOD TO YIELDING,60-40,4,24.11,5
485000,445,11/22/1997,ST,4,0,1400,GOOD TO YIELDING,40-0,5,13.67,9
625000,446,11/22/1997,ST,5,0,1400,GOOD TO YIELDING,60-40,4,13.84,9
850000,457,11/26/1997,HV,6,0,1200,GOOD,80-60,3,24.24,5
850000,458,11/26/1997,HV,7,0,1650,GOOD,80-60,3,27.55,1
1400000,459,11/26/1997,HV,8,0,1650,GOOD,105-80,1,27.58,1
485000,470,12/3/1997,HV,1,0,1650,GOOD,40-0,5,27.72,11
625000,471,12/3/1997,HV,2,0,1000,GOOD,60-40,4,13.16,4
850000,472,12/3/1997,HV,3,0,2200,GOOD,80-60,3,14.16,8
625000,479,12/7/1997,ST,2,0,1200,GOOD,60-40,4,24.56,12
1750000,480,12/7/1997,ST,3,0,1200,GOOD,115-90,1,24.12,6
625000,481,12/7/1997,ST,4,0,1600,GOOD,60-40,4,25.38,1
485000,482,12/7/1997,ST,5,0,1400,GOOD,40-10,5,13.89,1
850000,483,12/7/1997,ST,6,0,1200,GOOD,80-60,3,24.72,1
625000,484,12/7/1997,ST,7,0,1400,GOOD,60-40,4,13.66,4
850000,487,12/7/1997,ST,10,0,1600,GOOD,80-60,3,24.92,7
850000,488,12/7/1997,ST,11,0,1400,GOOD,80-60,3,13.95,7
485000,725,5/31/1998,ST,1,0,1400,GOOD,40-15,5,13.99,2
485000,726,5/31/1998,ST,2,0,1200,GOOD,40-15,5,24.45,1
625000,727,5/31/1998,ST,3,0,1600,GOOD,60-40,4,24.59,12
1750000,728,5/31/1998,ST,4,0,1200,GOOD,120-95,1,23.38,11
625000,729,5/31/1998,ST,5,0,1200,GOOD,60-40,4,24.05,9
850000,740,6/3/1998,HV,6,0,1200,GOOD,80-60,3,24.06,2
850000,741,6/3/1998,HV,7,0,1650,GOOD,80-60,3,27.27,10
1150000,742,6/3/1998,HV,8,0,1200,GOOD,100-80,2,23.44,5
485000,753,6/10/1998,HV,1,0,1000,GOOD TO FIRM,40-15,5,12.92,3
485000,754,6/10/1998,HV,2,0,1650,GOOD TO FIRM,40-15,5,27.77,6
485000,761,6/13/1998,ST,1,1,1200,FAST,40-15,5,23.78,4
625000,762,6/13/1998,ST,2,0,1200,GOOD,60-40,4,24.25,2
625000,763,6/13/1998,ST,3,0,1200,GOOD,60-40,4,24.16,1
485000,764,6/13/1998,ST,4,0,1400,GOOD,40-15,5,13.91,2
625000,765,6/13/1998,ST,5,1,1650,FAST,60-40,4,28.12,2
625000,766,6/13/1998,ST,6,0,1400,GOOD,60-40,4,13.78,2
1150000,767,6/13/1998,ST,7,0,1200,GOOD,100-80,2,24.06,8
850000,768,6/13/1998,ST,8,0,1200,GOOD,80-60,3,24.05,8
850000,769,6/13/1998,ST,9,0,1400,GOOD,80-60,3,13.74,11
850000,770,6/13/1998,ST,10,0,1200,GOOD,80-60,3,23.92,10
850000,779,6/18/1998,HV,9,0,1400,GOOD,80-60,3,13.52,14
1400000,780,6/18/1998,HV,10,0,1600,GOOD,105-80,1,24.52,8
625000,781,6/21/1998,ST,1,0,1800,GOOD TO FIRM,60-40,4,14.05,2
485000,782,6/21/1998,ST,2,0,1400,GOOD TO FIRM,40-15,5,13.78,12
850000,783,6/21/1998,ST,3,0,1800,GOOD TO FIRM,85-60,3,14.17,3
625000,784,6/21/1998,ST,4,1,1200,GOOD,60-40,4,23.84,4
625000,785,6/21/1998,ST,5,0,1400,GOOD TO FIRM,60-40,4,13.64,2
850000,786,6/21/1998,ST,6,1,1200,GOOD,80-60,3,23.42,10
850000,787,6/21/1998,ST,7,0,1200,GOOD TO FIRM,80-60,3,24.09,3
1150000,789,6/21/1998,ST,9,1,1200,GOOD,100-80,2,23.61,4
1150000,790,6/21/1998,ST,10,0,1400,GOOD TO FIRM,100-80,2,13.69,5
485000,791,6/24/1998,HV,1,0,1650,GOOD,40-10,5,27.77,9
625000,792,6/24/1998,HV,2,0,1650,GOOD,60-40,4,27.31,7
625000,793,6/24/1998,HV,3,0,1200,GOOD TO FIRM,60-40,4,23.83,1
485000,799,6/28/1998,ST,1,0,1600,GOOD TO FIRM,40-15,5,24.58,12
1150000,807,6/28/1998,ST,9,0,1200,GOOD,100-80,2,23.94,10
850000,808,6/28/1998,ST,10,0,1400,GOOD,80-60,3,13.61,7
850000,815,7/1/1998,HV,7,0,1800,GOOD TO FIRM,80-60,3,13.67,1
1150000,816,7/1/1998,HV,8,0,1650,GOOD TO FIRM,100-80,2,28.05,11
625000,817,7/4/1998,ST,1,0,1000,GOOD TO FIRM,60-40,4,13.42,8
485000,818,7/4/1998,ST,2,1,1650,FAST,40-10,5,28.08,14
625000,819,7/4/1998,ST,3,0,1400,GOOD TO FIRM,60-40,4,13.55,1
485000,820,7/4/1998,ST,4,0,1400,GOOD TO FIRM,40-10,5,13.62,13
625000,821,7/4/1998,ST,5,1,1650,FAST,60-40,4,28.5,2
625000,822,7/4/1998,ST,6,0,1600,GOOD TO FIRM,60-40,4,24.19,8
850000,823,7/4/1998,ST,7,1,1650,FAST,80-60,3,27.77,6
850000,824,7/4/1998,ST,8,0,1400,GOOD TO FIRM,80-60,3,13.53,6
850000,825,7/4/1998,ST,9,0,1200,GOOD TO FIRM,80-60,3,24.17,5
1400000,826,7/4/1998,ST,10,0,1400,GOOD TO FIRM,105-80,1,13.3,12
625000,827,7/8/1998,HV,1,0,1200,GOOD TO FIRM,60-40,4,23.95,11
625000,828,7/8/1998,HV,2,0,1200,GOOD TO FIRM,60-40,4,24.02,1
485000,829,7/8/1998,HV,3,0,1800,GOOD TO FIRM,40-10,5,14.14,5
625000,830,7/8/1998,HV,4,0,1650,GOOD TO FIRM,60-40,4,27.66,6
485000,835,7/12/1998,ST,1,0,1200,GOOD TO FIRM,40-15,5,24.7,6
850000,844,7/12/1998,ST,10,0,1600,GOOD TO FIRM,80-60,3,25.08,10
850000,852,7/19/1998,HV,8,0,1650,GOOD,85-60,3,27.09,8
1150000,853,7/19/1998,HV,9,0,1200,GOOD,100-80,2,23.16,1
1400000,854,7/19/1998,HV,10,0,1650,GOOD,105-80,1,27.27,2
485000,855,7/22/1998,ST,1,1,1200,FAST,40-10,5,24.09,4
625000,856,7/22/1998,ST,2,1,1800,FAST,60-40,4,13.81,5
