prize,race_id,date,venue,race_no,surface,distance,going,horse_ratings,race_class,sec_time,win_combination
1150000,1498,5/30/1999,ST,10,0,1400,YIELDING,95-75,2,13.66,14
640000,1499,6/2/1999,HV,1,0,1200,GOOD,60-40,4,23.67,3
640000,1500,6/2/1999,HV,2,0,1200,GOOD TO FIRM,60-40,4,23.67,2
500000,1501,6/2/1999,HV,3,0,1200,GOOD TO FIRM,40-15,5,23.81,8
640000,1502,6/2/1999,HV,4,0,1650,GOOD TO FIRM,60-40,4,27.62,5
640000,1507,6/5/1999,ST,1,0,1000,GOOD,60-40,4,13.5,3
640000,1508,6/5/1999,ST,2,0,1200,GOOD,60-40,4,24.11,8
850000,1524,6/10/1999,HV,8,0,1200,GOOD,80-60,3,23.66,2
1150000,1525,6/10/1999,HV,9,0,1650,GOOD,100-80,2,27.8,3
850000,1526,6/10/1999,HV,10,0,1650,GOOD,80-60,3,27.38,8
850000,1535,6/13/1999,ST,9,0,1400,GOOD,80-60,3,13.34,5
1150000,1536,6/13/1999,ST,10,0,1200,GOOD,100-80,2,24.12,8
850000,1537,6/18/1999,ST,1,0,1800,GOOD TO FIRM,80-60,3,14.03,3
640000,1538,6/18/1999,ST,2,0,1200,GOOD TO FIRM,60-40,4,24.2,8
500000,1539,6/18/1999,ST,3,0,1600,GOOD TO FIRM,40-15,5,24.48,1
850000,1546,6/18/1999,ST,10,0,1400,GOOD TO FIRM,80-60,3,13.61,2
500000,1547,6/23/1999,HV,1,0,1200,GOOD,40-15,5,24.27,5
640000,1548,6/23/1999,HV,2,0,1200,GOOD,60-40,4,23.72,4
640000,1549,6/23/1999,HV,3,0,1200,GOOD,60-40,4,24.17,2
640000,1555,6/27/1999,ST,1,1,1200,GOOD,60-40,4,23.88,9
640000,1556,6/27/1999,ST,2,0,1200,GOOD,60-40,4,23.64,12
850000,1560,6/27/1999,ST,6,1,1650,WET SLOW,85-60,3,28.47,6
1400000,1561,6/27/1999,ST,7,1,1200,WET SLOW,105-80,1,23.39,7
850000,1562,6/27/1999,ST,8,0,1400,GOOD,80-60,3,13.42,7
850000,1563,6/27/1999,ST,9,0,1200,GOOD,80-60,3,23.94,3
1150000,1564,6/27/1999,ST,10,0,1400,GOOD,100-80,2,13.7,7
850000,1571,6/30/1999,HV,7,0,1650,GOOD TO FIRM,80-60,3,27.53,8
1150000,1572,6/30/1999,HV,8,0,1650,GOOD TO FIRM,95-75,2,27.59,1
500000,1573,7/4/1999,ST,1,0,1200,GOOD TO FIRM,40-15,5,23.86,1
640000,1574,7/4/1999,ST,2,0,1200,GOOD TO FIRM,60-40,4,24,2
500000,1583,7/7/1999,HV,1,0,1200,GOOD TO FIRM,40-10,5,24,8
640000,1584,7/7/1999,HV,2,0,1200,GOOD TO FIRM,60-40,4,24.2,6
850000,1599,7/11/1999,ST,9,0,1200,GOOD TO FIRM,80-60,3,23.78,6
850000,1600,7/11/1999,ST,10,0,1600,GOOD TO FIRM,80-60,3,24.45,13
850000,1608,7/18/1999,HV,8,0,1800,GOOD,80-60,3,13.36,7
850000,1609,7/18/1999,HV,9,0,1200,GOOD,85-60,3,24.2,5
850000,1610,7/18/1999,HV,10,0,1650,GOOD,85-60,3,27.48,3
640000,1611,7/21/1999,ST,1,1,1200,GOOD,60-40,4,23.61,2
500000,1612,7/21/1999,ST,2,1,1200,GOOD,40-10,5,23.94,1
640000,1613,7/21/1999,ST,3,1,1200,GOOD,60-40,4,23.72,6
640000,1656,8/8/1999,ST,2,1,1200,GOOD,60-40,4,23.78,11
850000,1657,8/8/1999,ST,3,0,1600,GOOD TO FIRM,80-60,3,24.75,9
500000,1658,8/8/1999,ST,4,1,1800,GOOD,40-0,5,13.91,8
640000,1659,8/8/1999,ST,5,0,1400,GOOD TO FIRM,60-40,4,13.67,5
850000,1660,8/8/1999,ST,6,0,1400,GOOD TO FIRM,80-60,3,13.69,11
850000,1663,8/8/1999,ST,9,0,1200,GOOD TO FIRM,80-60,3,24.34,7
500000,1665,8/11/1999,HV,1,0,1000,GOOD,40-10,5,13.03,4
640000,1666,8/11/1999,HV,2,0,2200,GOOD,60-40,4,14.19,3
1150000,1682,8/15/1999,ST,10,0,1400,GOOD TO FIRM,95-75,2,13.73,14
640000,1686,8/18/1999,HV,4,0,1650,GOOD,60-40,4,28.16,3
850000,1687,8/18/1999,HV,5,0,1200,GOOD,80-60,3,23.89,1
500000,1691,8/21/1999,ST,1,1,1200,GOOD,40-0,5,23.49,8
640000,1692,8/21/1999,ST,2,0,1000,GOOD,60-40,4,13.72,3
640000,1693,8/21/1999,ST,3,1,1800,GOOD,60-40,4,13.97,7
1105000,1707,8/25/1999,HV,7,0,1800,GOOD,80-60,3,13.62,8
1150000,1708,8/25/1999,HV,8,0,1650,GOOD,95-75,2,28.08,6
500000,1719,9/1/1999,HV,1,0,1650,GOOD,40-0,5,29.47,6
640000,1720,9/1/1999,HV,2,0,1650,GOOD,60-40,4,28.72,3
850000,1725,9/1/1999,HV,7,0,1650,GOOD TO YIELDING,80-60,3,28.03,9
850000,1726,9/1/1999,HV,8,0,1200,GOOD TO YIELDING,80-60,3,23.77,5
640000,2025,1/2/2000,HV,6,0,1650,GOOD,65-40,4,27.8,3
850000,2026,1/2/2000,HV,7,0,1200,GOOD TO YIELDING,80-60,3,23.47,7
1400000,2027,1/2/2000,HV,8,0,2200,GOOD TO YIELDING,105-80,1,14.33,7
1750000,2028,1/2/2000,HV,9,0,1650,GOOD TO YIELDING,115-90,1,27.91,2
850000,2029,1/2/2000,HV,10,0,1800,GOOD TO YIELDING,80-60,3,13.8,2
640000,2030,1/5/2000,HV,1,0,1000,GOOD,60-40,4,12.77,1
640000,2044,1/10/2000,ST,7,0,1600,GOOD TO FIRM,60-40,4,25.22,6
850000,2045,1/10/2000,ST,8,0,2000,GOOD TO FIRM,80-60,3,26.05,5
850000,2047,1/10/2000,ST,10,0,1400,GOOD TO FIRM,80-60,3,13.62,14
1150000,2048,1/10/2000,ST,11,0,1400,GOOD TO FIRM,100-80,2,14,6
640000,2049,1/16/2000,ST,1,0,1200,GOOD,60-40,4,24.11,2
500000,2050,1/16/2000,ST,2,0,1200,GOOD,40-20,5,25,5
1150000,2066,1/19/2000,HV,8,0,1650,GOOD,100-80,2,27.2,10
640000,2068,1/22/2000,ST,2,0,1600,GOOD TO FIRM,60-40,4,24.31,5
640000,2069,1/22/2000,ST,3,0,1400,GOOD TO FIRM,60-40,4,13.74,12
640000,2070,1/22/2000,ST,4,1,1200,GOOD,60-40,4,23.73,3
850000,2076,1/22/2000,ST,10,0,1400,GOOD TO FIRM,80-60,3,13.66,10
500000,2078,1/25/2000,ST,2,1,1200,GOOD,40-10,5,23.78,9
640000,2079,1/25/2000,ST,3,0,1000,GOOD TO FIRM,60-40,4,13.56,6
500000,2080,1/25/2000,ST,4,0,1600,GOOD TO FIRM,40-10,5,25.08,2
640000,2081,1/25/2000,ST,5,0,1400,GOOD TO FIRM,60-40,4,13.73,6
640000,2082,1/25/2000,ST,6,0,2200,GOOD TO FIRM,60-35,4,13.8,5
640000,2083,1/25/2000,ST,7,1,1650,GOOD,60-40,4,28.06,14
850000,2084,1/25/2000,ST,8,0,1000,GOOD TO FIRM,80-60,3,13,8
850000,2085,1/25/2000,ST,9,1,1200,GOOD,85-60,3,23.81,4
1400000,2086,1/25/2000,ST,10,1,1650,GOOD,105-80,1,28.59,7
850000,2087,1/25/2000,ST,11,0,1600,GOOD TO FIRM,80-60,3,25.08,14
500000,2088,1/30/2000,ST,1,0,1400,GOOD,40-0,5,13.64,1
640000,2089,1/30/2000,ST,2,1,1200,WET SLOW,60-40,4,23.67,2
850000,2090,1/30/2000,ST,3,0,1200,GOOD,80-60,3,24.05,1
500000,2091,1/30/2000,ST,4,0,1400,GOOD,40-0,5,13.72,4
640000,2092,1/30/2000,ST,5,0,1600,GOOD,60-40,4,25.09,9
640000,2093,1/30/2000,ST,6,0,1400,GOOD,60-40,4,13.59,14
850000,2094,1/30/2000,ST,7,1,1200,WET SLOW,80-60,3,22.97,3
850000,2095,1/30/2000,ST,8,0,1400,GOOD,80-60,3,13.5,1
1400000,2096,1/30/2000,ST,9,0,1000,GOOD,105-80,1,13.09,11
850000,2097,1/30/2000,ST,10,1,1650,WET SLOW,80-60,3,27.58,4
500000,2098,2/2/2000,HV,1,0,1200,GOOD,40-10,5,24.19,9
640000,2099,2/2/2000,HV,2,0,1000,GOOD,60-40,4,12.7,11
850000,2100,2/2/2000,HV,3,0,2200,GOOD,80-60,3,14.59,1
640000,2106,2/5/2000,ST,1,0,1000,GOOD TO FIRM,60-40,4,13.36,3
500000,2107,2/5/2000,ST,2,0,1800,GOOD TO FIRM,40-10,5,13.92,10
1150000,2108,2/5/2000,ST,3,0,2000,GOOD TO FIRM,100-80,2,26.44,4
850000,2114,2/5/2000,ST,9,0,1400,GOOD TO YIELDING,80-60,3,13.8,12
1150000,2115,2/5/2000,ST,10,0,1600,GOOD TO YIELDING,100-80,2,24.58,7
850000,2122,2/9/2000,HV,7,0,1650,GOOD,80-60,3,27.75,5
1150000,2123,2/9/2000,HV,8,0,1200,GOOD,100-80,2,23.84,3
640000,2125,2/13/2000,ST,2,0,1200,GOOD TO FIRM,60-40,4,23.97,5
500000,2126,2/13/2000,ST,3,0,1600,GOOD TO FIRM,40-10,5,24.59,1
500000,2135,2/16/2000,HV,1,0,2200,GOOD,40-0,5,14.02,1
640000,2136,2/16/2000,HV,2,0,1650,GOOD,60-40,4,28.89,9
500000,2143,2/20/2000,ST,1,0,1200,GOOD TO FIRM,40-10,5,24.52,12
640000,2144,2/20/2000,ST,2,1,1200,GOOD,60-40,4,23.95,6
640000,2145,2/20/2000,ST,3,0,1200,GOOD TO FIRM,60-40,4,24.83,5
640000,2146,2/20/2000,ST,4,0,1400,GOOD TO FIRM,60-40,4,13.42,11
640000,2147,2/20/2000,ST,5,0,1800,GOOD TO FIRM,60-40,4,13.84,10
850000,2148,2/20/2000,ST,6,1,1650,GOOD,85-60,3,27.77,2
850000,2149,2/20/2000,ST,7,0,1200,GOOD TO FIRM,80-60,3,23.86,5
850000,2176,3/1/2000,HV,6,0,1200,GOOD,80-60,3,23.92,8
1750000,2177,3/1/2000,HV,7,0,1000,GOOD,110-85,1,12.74,8
1150000,2178,3/1/2000,HV,8,0,1650,GOOD,100-80,2,27.53,9
500000,2180,3/5/2000,ST,2,1,1650,GOOD,40-0,5,28.39,6
640000,2181,3/5/2000,ST,3,0,1400,GOOD,60-40,4,13.49,5
850000,2182,3/5/2000,ST,4,0,1200,GOOD,80-60,3,24.31,7
640000,2183,3/5/2000,ST,5,0,1400,GOOD TO FIRM,60-40,4,13.56,7
640000,2184,3/5/2000,ST,6,1,1200,GOOD,65-40,4,23.77,6
850000,2185,3/5/2000,ST,7,0,1400,GOOD TO FIRM,80-60,3,13.8,14
850000,2187,3/5/2000,ST,9,0,1800,GOOD TO FIRM,80-60,3,14.02,1
1150000,2188,3/5/2000,ST,10,1,1200,GOOD,100-80,2,23.33,8
1150000,2189,3/5/2000,ST,11,0,1800,GOOD TO FIRM,100-80,2,13.94,6
500000,2190,3/8/2000,HV,1,0,1200,GOOD TO YIELDING,40-10,5,23.8,1
640000,2191,3/8/2000,HV,2,0,1650,GOOD TO YIELDING,60-40,4,27.5,5
850000,2196,3/8/2000,HV,7,0,1200,YIELDING,80-60,3,24.02,7
850000,2197,3/8/2000,HV,8,0,1650,YIELDING,80-60,3,27.64,10
640000,2198,3/12/2000,ST,1,0,1000,GOOD,60-40,4,13.47,2
1150000,2207,3/12/2000,ST,10,0,1400,GOOD,100-80,2,13.38,9
500000,2209,3/17/2000,ST,2,0,1200,GOOD TO YIELDING,40-0,5,23.88,10
640000,2210,3/17/2000,ST,3,1,1650,WET SLOW,60-40,4,27.67,14
640000,2211,3/17/2000,ST,4,0,1200,GOOD TO YIELDING,60-40,4,24.09,4
850000,2212,3/17/2000,ST,5,1,1200,WET SLOW,80-60,3,23.81,12
640000,2213,3/17/2000,ST,6,0,1400,GOOD TO YIELDING,60-40,4,13.61,9
640000,2214,3/17/2000,ST,7,0,1800,GOOD TO YIELDING,60-40,4,13.88,6
1750000,2215,3/17/2000,ST,8,0,1200,GOOD,110-85,1,23.58,6
850000,2216,3/17/2000,ST,9,0,1800,GOOD,80-60,3,13.84,7
850000,2217,3/17/2000,ST,10,0,1400,GOOD,80-60,3,13.48,8
1400000,2218,3/17/2000,ST,11,1,1650,WET SLOW,105-80,1,27.58,7
500000,2219,3/22/2000,HV,1,0,1650,GOOD TO FIRM,40-0,5,27.89,7
640000,2220,3/22/2000,HV,2,0,1000,GOOD TO FIRM,60-40,4,12.91,1
500000,2227,3/26/2000,ST,1,0,1600,GOOD TO FIRM,40-0,5,25.09,3
640000,2228,3/26/2000,ST,2,0,1200,GOOD TO FIRM,60-40,4,23.86,14
500000,2229,3/26/2000,ST,3,0,1400,GOOD TO FIRM,40-20,5,13.27,6
1150000,2237,3/26/2000,ST,11,0,1400,GOOD TO FIRM,100-80,2,13.31,10
525000,2238,5/28/2000,ST,1,0,1200,GOOD,40-15,5,24.11,14
525000,2239,5/28/2000,ST,2,0,1400,GOOD,40-15,5,13.55,2
1200000,2255,5/31/2000,HV,8,0,1200,GOOD,100-80,2,23.84,8
900000,2320,6/25/2000,ST,11,0,1400,GOOD,80-60,3,13.62,10
675000,2323,6/28/2000,HV,3,0,1650,GOOD TO YIELDING,60-40,4,27.77,2
675000,2324,6/28/2000,HV,4,0,1200,GOOD TO YIELDING,60-40,4,23.84,5
900000,2325,6/28/2000,HV,5,0,1800,YIELDING,80-60,3,13.95,5
900000,2326,6/28/2000,HV,6,0,1650,YIELDING,80-60,3,27.66,9
525000,2329,7/2/2000,ST,1,0,2000,GOOD,40-10,5,26.39,3
675000,2330,7/2/2000,ST,2,0,1000,GOOD,60-40,4,13.62,4
675000,2331,7/2/2000,ST,3,0,1800,GOOD,60-40,4,14.36,4
525000,2357,7/12/2000,HV,1,0,1200,GOOD,40-10,5,23.72,10
525000,2366,7/16/2000,ST,2,0,1400,GOOD,40-10,5,13.39,9
675000,2367,7/16/2000,ST,3,0,1200,GOOD,60-40,4,23.75,5
1200000,2375,7/16/2000,ST,11,0,1400,GOOD,100-80,2,13.33,13
675000,2376,7/22/2000,ST,1,0,1200,GOOD TO FIRM,60-40,4,23.91,1
525000,2377,7/22/2000,ST,2,0,1600,GOOD TO FIRM,40-0,5,25.38,5
675000,2378,7/22/2000,ST,3,0,1000,GOOD TO FIRM,60-40,4,13.48,5
675000,2379,7/22/2000,ST,4,1,1800,GOOD,60-40,4,14,13
675000,2380,7/22/2000,ST,5,0,1400,GOOD TO FIRM,60-40,4,13.33,11
900000,2381,7/22/2000,ST,6,0,1400,GOOD TO FIRM,80-60,3,13.69,9
900000,2382,7/22/2000,ST,7,1,1200,GOOD,80-60,3,23.86,8
900000,2383,7/22/2000,ST,8,0,1000,GOOD TO FIRM,80-60,3,13.22,1
900000,2392,7/26/2000,HV,7,0,1650,GOOD TO YIELDING,80-60,3,27.48,10
1200000,2393,7/26/2000,HV,8,0,1800,GOOD TO YIELDING,100-80,2,13.53,1
1400000,2401,7/30/2000,ST,8,0,1400,GOOD,105-80,1,13.5,2
900000,2402,7/30/2000,ST,9,0,1600,GOOD,80-60,3,24.92,8
1200000,2403,7/30/2000,ST,10,0,1200,GOOD,100-80,2,24.17,6
525000,2404,8/2/2000,HV,1,0,1650,GOOD,40-10,5,28.02,5
675000,2405,8/2/2000,HV,2,0,1000,GOOD,60-40,4,12.77,8
675000,2412,8/6/2000,ST,1,0,1400,GOOD,60-40,4,13.59,6
525000,2413,8/6/2000,ST,2,0,1800,GOOD,40-0,5,14.08,2
1200000,2428,8/9/2000,HV,7,0,1650,GOOD,100-80,2,28.02,1
900000,2429,8/9/2000,HV,8,0,1650,GOOD,80-60,3,27.97,2
