team1,team2,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
Chennai Super Kings,Deccan Chargers,85,2008,Chennai,5/6/2008,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",MR Benson,RB Tiffin,
Rajasthan Royals,Mumbai Indians,86,2008,Mumbai,5/7/2008,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen,
Delhi Daredevils,Chennai Super Kings,87,2008,Delhi,5/8/2008,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin,
Kolkata Knight Riders,Royal Challengers Bangalore,88,2008,Kolkata,5/8/2008,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,5,0,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell,
Deccan Chargers,Rajasthan Royals,89,2008,Jaipur,5/9/2008,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba,
Royal Challengers Bangalore,Mumbai Indians,90,2008,Bangalore,5/28/2008,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,CRD Fernando,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash,
Chennai Super Kings,Kings XI Punjab,91,2008,Chennai,5/10/2008,Kings XI Punjab,field,normal,0,Chennai Super Kings,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling,
Kolkata Knight Riders,Deccan Chargers,92,2008,Hyderabad,5/11/2008,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,
Delhi Daredevils,Rajasthan Royals,93,2008,Jaipur,5/11/2008,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,
Royal Challengers Bangalore,Kings XI Punjab,94,2008,Chandigarh,5/12/2008,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram,
Kolkata Knight Riders,Delhi Daredevils,95,2008,Kolkata,5/13/2008,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,
Chennai Super Kings,Mumbai Indians,96,2008,Mumbai,5/14/2008,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,
Kings XI Punjab,Rajasthan Royals,97,2008,Chandigarh,5/28/2008,Rajasthan Royals,field,normal,0,Kings XI Punjab,41,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan,
