year,title,imdbRating,ratingCount,duration
2005,Rom (TV Series 2005–2007),9,78560,5400
1945,Solange ein Herz schlägt (1945),8,12812,6660
2003,(Ohne Titel) (2003),6.3,6,180
2006,S.H.I.T. - Die Highschool GmbH (2006),6.5,87846,5580
2005,Amityville Horror - Eine wahre Geschichte (2005),5.9,63063,5400
2005,The Dying Gaul (2005),6.6,2041,6060
2005,Green Street Hooligans (2005),7.6,92562,6540
2003,Picture Again (2003),5.2,9,1980
2003,Eretz Nehederet (TV Series 2003– ),7.9,163,
2003,Chuet chung tit gam gong (2003),5,107,6720
1945,Der Held von Burma (1945),7.4,2918,8520
2007,Der goldene Kompass (2007),6.1,123591,6780
2005,My Big Fat Independent Movie (2005),3.3,1250,4800
2009,Wo die wilden Kerle wohnen (2009),6.8,74211,6060
2003,The Work of Director Spike Jonze (Video 2003),8.1,833,12000
2005,Die Legende des Zorro (2005),5.9,54076,7740
2004,Drawn Together (TV Series 2004–2008),7,13173,1320
2002,The Formula (Video 2002),7.8,77,3180
2003,Manhunt (Video Game 2003),8.3,1146,
1945,Frühling des Lebens (1945),7.6,1030,6300
2003,The Making of 'Alien³' (Video 2003),7.6,214,9660
2005,Couchgeflüster - Die erste therapeutische Liebeskomödie (2005),6.3,29940,6300
2006,Black Dahlia (2006),5.6,56169,7260
2005,Caché (2005),7.3,42961,7020
2004,Verrückte Weihnachten (2004),5.1,20373,5940
2005,Transporter - The Mission (2005),6.3,115728,5220
2004,The Right Way (2004),8.2,1036,4800
2003,Something to Do with Death (Video 2003),6.8,101,1080
2006,Black Book (2006),7.9,51494,8700
2007,30 Days of Night (2007),6.6,114808,6780
2007,Bee Movie - Das Honigkomplott (2007),6.2,81763,5460
2004,Friday Night Lights - Touchdown am Freitag (2004),7.3,37007,7080
2004,Der Fluch (2004),5.8,87573,5520
2006,I Want Someone to Eat Cheese With (2006),6.3,2763,4800
2005,So was wie Liebe (2005),6.6,48723,6420
1999,The Century: America's Time (TV Mini-Series 1999),8.4,39,45000
2002,'Sunset Blvd.': A Look Back (Video 2002),7,100,1500
2004,Ishq Hai Tumse (2004),3.2,104,8880
540,Screen Snapshots Series 25\,http://www.imdb.com/title/tt0038059/,6.1,13
1993,Baywatch - Die Rettungsschwimmer von Malibu Lover's Cove (TV Episode 1993),6.9,27,2580
2003,The Last Detective Tricia (TV Episode 2003),8,39,4260
1956,Producers' Showcase The Letter (TV Episode 1956),5.7,6,5400
1992,Tiny Toon Adventures A Cat's Eye View (TV Episode 1992),7.5,8,1320
1990,Tiny Toon Adventures The Looney Beginning (TV Episode 1990),8,42,1320
2004,The 61st Annual Golden Globe Awards (2004),5.1,277,
2004,Eorin shinbu (2004),7.3,2423,6900
2005,The Producers (2005),6.4,30665,8040
1992,Eastwood... A Star (TV Movie 1992),6.6,42,960
2003,Indiana Jones: Making the Trilogy (Video 2003),7.2,330,7620
2003,The Second Uncanny Issue of X-Men! Making 'X2' (Video 2003),6.4,79,3540
2004,CSI: NY (TV Series 2004–2013),7,28629,2580
2004,Chainsaw Redux: Making a Massacre (Video 2004),5.8,99,4560
1945,Stimme aus dem Jenseits (1945),6.4,485,5220
2008,The Secret of Moonacre (2008),6.1,5820,6180
2005,Eine zauberhafte Nanny (2005),6.6,36864,5820
2007,Blood and Chocolate (2007),5.4,13578,5880
2006,Zum Glück geküsst (2006),5.3,35313,6180
2003,Cookie Jar (2003),6,6,360
1913,Raja Harishchandra (1913),6.7,150,2400
1925,Der Adler (1925),7.8,958,4380
1945,Schnellboote vor Bataan (1945),7.4,4689,8100
2005,Entgleist (2005),6.6,55118,6480
2005,Das Ende - Assault on Precinct 13 (2005),6.3,59203,6540
2007,Brücke nach Terabithia (2007),7.2,85387,5760
2004,Le conseguenze dell'amore (2004),7.7,6958,6000
2006,D.O.A. - Dead or Alive (2006),4.8,34041,5220
2003,Ivan Cooper Remembers (Video 2003),3.8,13,420
2003,Anus Magillicutty (2003),2.6,3500,4200
1944,Drei Caballeros (1944),6.6,6513,4260
2005,The Ice Harvest (2005),6.3,18945,5520
2006,Jagdfieber (2006),6.2,49481,4980
2004,Appurushîdo (2004),7,13199,6060
2005,Ein Königreich für ein Lama 2 - Kronks großes Abenteuer (Video 2005),5.9,4428,4320
2006,Ein gutes Jahr (2006),6.9,56644,7020
2006,Underworld: Evolution (2006),6.7,122890,6360
3540,Die Männer\,http://www.imdb.com/title/tt0038182/,6.9,1837
2007,Enttarnt - Verrat auf höchster Ebene (2007),7.1,47536,6600
2005,Beowulf & Grendel (2005),5.9,14515,6180
2005,The Dark Hours (2005),6.1,4347,4800
2005,The New World (2005),6.7,59741,8100
2004,Tatort Abschaum (TV Episode 2004),7,106,5400
2005,The Big White - Immer Ärger mit Raymond (2005),6.5,10716,6000
2005,Casanova (2005),6.5,37223,6720
2005,Last Days (2005),5.7,16368,5820
2005,Eine für 4 (2005),6.6,36135,7140
2009,Youth in Revolt (2009),6.5,54184,5400
2004,10th Annual Screen Actors Guild Awards (2004),6.9,53,
2005,Der Exorzismus von Emily Rose (2005),6.7,72324,7140
2004,Hitman: Contracts (Video Game 2004),8.1,1322,
2005,Kifferwahn (2005),7.2,5032,6720
2003,Chaplin Today: The Gold Rush (TV Movie 2003),6.9,57,1620
1945,Sugata Sanshiro Fortsetzung (1945),6.2,986,4980
2004,Mehman-e maman (2004),7.2,1290,
2006,A Scanner Darkly - Der dunkle Schirm (2006),7.1,74355,6000
2005,Sky High - Diese Highschool hebt ab! (2005),6.2,48747,6000
2006,Southland Tales (2006),5.5,29694,8700
2004,Z-Channel - Die Geschichte eines Fernsehsenders (TV Movie 2004),7.6,998,7200
2004,American Fame Pt. 1: Drowning River Phoenix (2004),5.2,49,660
2003,Postales desde el mar (2003),,,600
1947,13 Rue Madeleine (1947),7,1706,5700
2005,Zathura - Ein Abenteuer im Weltraum (2005),6.1,49307,6060
2003,Chaplin Today: City Lights (TV Movie 2003),7.1,64,1560
2004,Masti (2004),6.1,2779,9960
2005,Transamerica (2005),7.5,32368,6180
2005,Krieg der Welten (2005),6.5,254882,6960
2002,Disney's Animation Magic: Beauty and the Beast (Video 2002),8,20,840
2004,Geomi sup (2004),6.8,1565,6720
1946,Erbauer des Morgens (1946),7.1,91,4920
2004,Mating Rituals 101 (2004),7,7,
2005,München (2005),7.7,148550,9840
2006,Firewall (2006),5.8,44775,6300
2002,Akte X - Die unheimlichen Fälle des FBI The Truth: Parts 1 & 2 (TV Episode 2002),8.3,1460,5400
2004,Doc Martin (TV Series 2004– ),8.3,4649,3000
2004,Die fetten Jahre sind vorbei (2004),7.6,22722,7620
2005,Flightplan - Ohne jede Spur (2005),6.2,103506,5880
1966,Iki yavrucak (1966),5.5,10,
2006,Poseidon (2006),5.6,70125,5640
2005,L'Auberge espagnole - Wiedersehen in St. Petersburg (2005),7.1,13057,7740
2005,In den Westen (TV Mini-Series 2005),8.1,4869,33120
2006,Wächter des Tages (2006),6.6,26246,7920
2008,Die Insel der Abenteuer (2008),6,23780,5760
2004,Desperate Housewives (TV Series 2004–2012),7.5,74606,2700
2004,Lost (TV Series 2004–2010),8.6,271937,2520
2003,Hazaaron Khwaishein Aisi (2003),7.9,2989,7200
2005,Broken Flowers (2005),7.2,67804,6360
2004,Dr. House (TV Series 2004–2012),8.9,213724,2700
2004,Samantha: An American Girl Holiday (TV Movie 2004),7.1,1014,5160
2004,Le fantôme d'Henri Langlois (2004),7.6,328,12600
2006,Half Light (2006),6,9779,6600
2005,Lady Henderson präsentiert (2005),7.1,12043,6180
2007,Evan Allmächtig (2007),5.4,95429,5760
1945,Geisterkomödie (1945),7.1,2929,5760
2007,Spider-Man 3 (2007),6.3,264158,8340
2006,Schweinchen Wilbur und seine Freunde (2006),6.4,21650,5820
2007,Elizabeth - Das goldene Königreich (2007),6.9,45482,6840
2003,Day for Night: An Appreciation (Video 2003),5.9,18,1020
2007,Der Mann aus London (2007),7.1,2022,8340
2006,Ricky Bobby - König der Rennfahrer (2006),6.5,98290,6480
2005,Beed-e majnoon (2005),7.5,2214,5760
1925,Le fantôme du Moulin-Rouge (1925),6.6,66,5400
1946,Die blaue Dahlie (1946),7.2,4061,5760
2005,Match Point (2005),7.7,128918,7440
1971,Los tres mosqueteros (TV Mini-Series 1971),7.8,8,
2006,300 (2006),7.8,466561,7020
2004,Baramui Fighter (2004),7.1,2698,7200
2005,Frau mit Hund sucht Mann mit Herz (2005),5.9,21725,5880
2003,The Venture Bros. (TV Series 2003– ),8.6,14721,1320
1946,Cluny Brown (1946),7.7,1443,6000
1939,Rope (TV Movie 1939),,,5400
2005,Jarhead - Willkommen im Dreck (2005),7.1,116866,7500
2005,Mi nismo andjeli 2 (2005),5.7,1986,5340
2006,Offscreen (2006),6.5,562,5580
2005,Der Tiger und der Schnee (2005),7.2,9746,6840
1946,Der schwarze Spiegel (1946),7.2,1814,5100
2006,Pittsburgh (2006),6.4,451,5040
2003,Doch wenn es Abend wird (2003),7.4,8,960
2005,Doom - Der Film (2005),5.2,74443,6000
2006,Find Me Guilty - Der Mafiaprozess (2006),7.1,23519,7500
2005,Ancient Evil 2: Guardian of the Underworld (Video 2005),2.7,155,5700
2004,At the Movies (TV Series 2004– ),8.2,97,1800
2004,From Hong Kong to Hollywood: The Making of John Woo (TV Movie 2004),4.4,24,1440
2004,Shijie (2004),7.1,1970,8580
1997,Becoming Attractions: The Trailers of Humphrey Bogart (TV Movie 1997),6.4,72,2700
2004,Bin-jip (2004),8.1,31195,5280
2007,Charlie Bartlett (2007),7,47906,5820
2006,Flutsch und weg (2006),6.7,64778,5100
2005,Hard Candy (2005),7.2,109409,6240
2004,Lila dit ça (2004),7.1,3289,5340
2005,The Mostly Unfabulous Social Life of Ethan Green (2005),6.2,1569,5280
2006,Clerks II (2006),7.5,99088,5820
1946,Die Killer (1946),7.9,10243,6180
2004,Quase Dois Irmãos (2004),6.9,472,6120
2004,Shah-re ziba (2004),7.9,2429,6060
2006,Candy - Reise der Engel (2006),7.3,29296,6960
2006,Klang der Stille (2006),6.8,9451,6240
2003,Dances with Wolves: The Creation of an Epic (Video 2003),7.2,89,4860
2003,Friendly Fire: Making an Urban Legend (Video 2003),6.8,24,2580
2008,Get Smart (2008),6.6,140323,6600
2007,Hot Fuzz - Zwei abgewichste Profis (2007),7.9,266190,7260
1946,Irrtum im Jenseits (1946),8.1,10950,6240
2004,The Making of 'Runaway Jury' (Video 2004),6.1,34,720
2005,Pusher 3 (2005),7.3,6395,5400
2006,Johnny Was (2006),5.7,1452,5580
2006,Alpha Dog - Tödliche Freundschaft (2006),6.9,76872,7080
2005,Carlito's Way: Rise to Power (Video 2005),4.9,3432,6000
2005,Erkan & Stefan in Der Tod kommt krass (2005),4.1,598,5820
2007,Invasion (2007),5.9,57199,5940
1998,Mezzo Forte (Video 1998),6.9,666,4800
2005,Splinter Cell: Chaos Theory (Video Game 2005),8.5,1563,
2005,Revenge of the Warrior (2005),7.1,24755,5400
2004,The Cutting Edge: The Magic of Movie Editing (2004),7.8,1441,5880
2005,Die sieben Schwerter (2005),6.2,7233,9180
2005,The 62nd Annual Golden Globe Awards (2005),4.5,344,
2005,The 77th Annual Academy Awards (2005),5.9,885,11640
1946,Nocturne (1946),6.7,583,5220
2010,Das A-Team - Der Film (2010),6.8,168808,7020
2006,Aquamarin - Die vernixte erste Liebe (2006),5.2,22360,6240
2005,Vier Brüder (2005),6.9,85602,6540
2006,Herr der Diebe (2006),6,4404,5880
2005,Ti piace Hitchcock? (TV Movie 2005),5.8,1819,5580
2005,Steve McQueen - Leidenschaftlich cool (TV Movie 2005),7.4,235,5220
2007,P.S. Ich Liebe Dich (2007),7,123082,7560
2007,Resident Evil: Extinction (2007),6.3,122157,5640
1997,Venice Report (TV Movie 1997),7.3,32,1680
2005,Saw 2 (2005),6.6,149829,5580
2004,Hitchcock and Dial M (Video 2004),6.4,69,1320
6120,Quo Vadis\,http://www.imdb.com/title/tt0433028/,6.2,730
2003,Revealed: The Making of 'La Femme Nikita' (Video 2003),6.9,15,1260
7320,The Namesake - Zwei Welten\,http://www.imdb.com/title/tt0433416/,7.6,14516
1946,Paisà (1946),7.8,3471,7500
2004,Keroro gunsô (TV Series 2004– ),7.9,293,1500
2004,Behind the Scenes of 'House of Sand and Fog' (Video 2004),5.4,63,960
2004,Se devo essere sincera (2004),6.1,131,6420
2005,#1 Fan: A Darkomentary (Video 2005),7.6,160,780
2005,Ma vie en l'air (2005),7,1529,6180
2005,Murderball (2005),7.8,8168,5280
2005,Doctor Who (TV Series 2005– ),8.9,99875,4260
1946,Peter and the Wolf (1946),7.9,1693,900
2006,Die Bankdrücker (2006),5.6,32999,4800
2006,Peaceful Warrior (2006),7.3,15369,7200
2007,Goodbye Bafana (2007),7.1,8553,7080
2005,Weeds - Kleine Deals unter Nachbarn (TV Series 2005–2012),8.2,69555,1800
2004,The Burly Man Chronicles (Video 2004),7.1,94,5700
2004,Cheng chong chui lui chai 2004 (2004),5.6,105,5700
2004,Hu die (2004),7.2,659,7440
2006,Dhoom:2 (2006),6.1,9930,9120
2006,Riisuttu mies (2006),5.6,652,7140
2004,Jimmy Whispers Returns to Mulberry Street (Video 2004),4.2,10,5400
2008,8 Blickwinkel (2008),6.6,111495,5400
2006,Breaking & Entering - Einbruch und Diebstahl (2006),6.6,18044,7200
2007,Die Todeskandidaten (2007),6.1,39321,6840
2005,Film Geek (2005),6.2,948,4680
2005,The American Experience Mary Pickford (TV Episode 2005),7.2,61,5400
2006,The Sentinel - Wem kannst du trauen? (2006),6.1,38305,6480
6540,10\,http://www.imdb.com/title/tt0443649/,5,90965
2008,Akte X - Jenseits der Wahrheit (2008),5.9,65144,6240
2007,Zodiac - Die Spur des Killers (2007),7.7,206885,9420
2005,Page 3 (2005),7.4,3728,8340
2004,L'emprise du carnavalesque (Video 2004),,,1260
1946,Shock (1946),6.3,1211,4200
2005,Paradise Now (2005),7.5,16668,5400
2003,Watching the Alien (Video 2003),6,8,1500
2007,Neues vom Wixxer (2007),6.2,2191,5880
2007,Pathfinder - Fährte des Kriegers (2007),5.4,32301,5940
2005,Isolation (2005),5.7,4541,5700
1946,Onkel Remus' Wunderland (1946),7.5,7342,5640
2004,The Hundred Days (Video 2004),7.6,24,4140
2009,Know1ng - Die Zukunft endet jetzt (2009),6.2,154064,7260
2008,Hancock (2008),6.5,233225,5520
2011,Der gestiefelte Kater (2011),6.7,86655,5400
2005,100 Greatest Cartoons (2005),6.5,108,14700
2005,Angel (TV Movie 2005),5.1,210,5220
2006,Little Miss Sunshine (2006),7.9,279289,6060
2005,Dominion: Exorzist - Der Anfang des Bösen (2005),5.4,6630,7020
1946,The Strange Love of Martha Ivers (1946),7.5,4420,6960
2004,The 2004 IFP/West Independent Spirit Awards (TV Movie 2004),2.2,190,
2008,Passengers (2008),5.8,22580,5580
2007,Zimmer 1408 (2007),6.8,169276,6240
1980,Gopala Rao Gari Ammayi (1980),8.3,26,7800
1946,Der Fremde (1946),7.5,10846,5700
2005,50 Cent: Bulletproof (Video Game 2005),3.4,389,
2005,No Entry (2005),6.7,4435,9480
2007,Der Glücksbringer (2007),5.6,64282,5760
2006,Santa Clause 3 - Eine frostige Bescherung (2006),4.5,14931,5820
2007,Motel (2007),6.2,67395,5100
2005,Naboer (2005),6.6,6134,4500
2003,Sinbad: Legend of the Seven Seas (Video Game 2003),5.4,10,
2007,Mr. Bean macht Ferien (2007),6.2,67848,5400
2005,Garam Masala (2005),6.4,3801,8760
2006,Amazing Grace (2006),7.5,17516,7020
2005,Bubble (2005),6.6,6262,4380
2006,Flyboys - Helden der Lüfte (2006),6.6,30273,8400
2006,The Hills Have Eyes - Hügel der blutigen Augen (2006),6.4,101643,6420
1946,Der unbekannte Geliebte (1946),6.6,1641,6960
2004,Infernal affairs 1: Origines d'une saga (Video 2004),8.2,40,900
2007,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),7,11384,5160
2010,The Crazies - Fürchte deinen Nächsten (2010),6.6,75953,6060
2006,Garfield 2 - Faulheit verpflichtet (2006),5,19777,4680
2006,Der letzte König von Schottland - In den Fängen der Macht (2006),7.8,118219,7260
2005,Medianeras (2005),7.6,161,1680
1924,Gier nach Geld (1924),7.8,6005,8400
1946,The Verdict (1946),7.2,962,5160
2008,Australia (2008),6.6,86496,9900
2005,Der Tod des Herrn Lazarescu (2005),7.9,8634,9000
2005,Salaam Namaste (2005),6.3,3888,9480
2007,Chaotisch Ana (2007),6.4,3112,7080
2004,Christine: Finish Line (Video 2004),5.4,15,420
2006,Grandma's Boy (2006),7.1,57932,5640
2005,Strength and Honor: Creating the World of 'Gladiator' (Video 2005),7.3,79,11820
1946,Die Wildnis ruft (1946),7.4,3625,8100
2006,Altered (2006),5.7,7689,5280
2005,Midnight Movies: From the Margin to the Mainstream (2005),7.4,998,5280
2007,Mr. Magoriums Wunderladen (2007),6.2,28993,5580
2006,Scoop - Der Knüller (2006),6.8,53034,5760
2005,49º premis Sant Jordi de cinematografía (2005),1.6,12,
2006,Liebe braucht keine Ferien (2006),6.9,138351,8280
2004,South Park The Passion of the Jew (TV Episode 2004),8.5,1161,1380
1947,So einfach ist die Liebe nicht (1947),7.3,4763,5700
2006,Der Teufel trägt Prada (2006),6.8,202973,6540
2006,Dorm Daze 2 (Video 2006),4,3896,6000
2009,Die Päpstin (2009),6.7,5199,8940
1978,She Loves Me (TV Movie 1978),8.5,68,6300
2005,Crossing the Bridge: The Sound of Istanbul (2005),7.8,4164,5400
8160,Gandhi\,http://www.imdb.com/title/tt0459293/,7.4,1106
2005,Tetsuko no heya 30nen special (2005),,,6000
2005,Zui hao de shi guang (2005),6.9,3394,7920
2005,Maurice Richard (2005),7.7,3939,7440
2005,Bones - Die Knochenjägerin (TV Series 2005– ),8.1,78576,2400
2005,Ghost Whisperer - Stimmen aus dem Jenseits (TV Series 2005–2010),6.3,29409,3600
2005,How I Met Your Mother (TV Series 2005– ),8.6,315773,1500
2005,Supernatural (TV Series 2005– ),8.8,185688,2700
2008,Chaos Theory (2008),6.8,24227,5220
2005,Felicity: An American Girl Adventure (TV Movie 2005),6.7,667,5100
2005,Horror Business (Video 2005),6.2,155,4920
2006,The Sasquatch Gang (2006),6.3,3428,5160
2005,Ek Khiladi Ek Haseena (2005),6.2,411,
4440,Une année au front\,http://www.imdb.com/title/tt0461412/,7.7,49
2004,Boy Called Twist (2004),7.1,122,6900
2004,Man yan (2004),6.8,57,5400
2007,Verwünscht (2007),7.2,111544,6420
2006,Don - Das Spiel beginnt (2006),7.2,14561,10260
2006,Rescue Dawn (2006),7.4,69790,7560
2007,Die Simpsons: Der Film (2007),7.4,206379,5220
1947,Brighton Rock (1947),7.4,3125,5520
2005,True Crime: New York City (Video Game 2005),7.1,422,
2007,28 Weeks Later (2007),7,167005,6000
2008,Asterix bei den Olympischen Spielen (2008),5,15800,6960
2006,The Fast and the Furious: Tokyo Drift (2006),5.9,115035,6240
2006,Chup Chup Ke (2006),6.4,2806,9840
2006,Severance - Ein blutiger Betriebsausflug (2006),6.6,28293,5760
5940,OSS 117 - Der Spion\,http://www.imdb.com/title/tt0464913/,7.1,10531
2006,American Dreamz - Alles Nur Show (2006),5.5,21109,6420
2006,Them (2006),6.5,20161,4620
2006,Disneys Kuzcos Königsklasse (TV Series 2006– ),6.6,1355,1800
2006,Eye of the Dolphin (2006),5.6,713,6120
1997,100 Years of Comedy (Video 1997),5.4,38,7200
2007,Cinderella - Wahre Liebe siegt (Video 2007),6,3883,4200
2006,Date Movie (2006),2.7,44937,4980
1969,Jornal Nacional (TV Series 1969– ),5.3,27,
1947,Copacabana (1947),6.2,764,5520
2005,Andrzej Wajda: On Kanal (Video 2005),5.2,6,1620
2005,Clair obscur (2005),,,600
10800,AFI's 100 Years... 100 Movie Quotes: America's Greatest Quips\,http://www.imdb.com/title/tt0466642/,7.2,181
2006,Half Nelson (2006),7.3,59782,6360
2006,The Host (2006),7,54108,7140
2013,Alan Partridge: Alpha Papa (2013),7.1,13976,5400
2006,Astronaut Farmer (2006),6.3,17900,6240
2005,Sir! No Sir! (2005),7.7,564,5100
2006,World Trade Center (2006),6,59252,7740
465,Bergman och filmen\,bergman och filmen bergman och teatern bergman och f r tv movie,http://www.imdb.com/title/tt0469772/,7.7
2006,For Your Consideration (2006),6.3,11010,5160
2009,The Tournament (2009),6.1,26600,5700
2002,E! True Hollywood Story Winona Ryder (TV Episode 2002),7.8,17,
1947,Daisy Kenyon (1947),6.7,1148,5940
2009,#9 (2009),7.1,87387,4740
2006,Saving Shiloh (2006),6.4,474,5400
2011,Die Schlümpfe (2011),5.5,52989,6180
2009,Notorious B.I.G. (2009),6.6,22746,7320
2009,Resident Evil 5 (Video Game 2009),8.2,3633,
2006,Der Fluch der goldenen Blume (2006),7,31554,6660
1925,Die kleine Annemarie (1925),7.7,598,5640
2005,Shepperton Babylon (TV Movie 2005),7.9,18,3600
2006,Smokin' Aces (2006),6.7,106483,6540
2005,Shikhar (2005),5,684,
2005,Saedeu mubi (2005),7.5,1806,6480
2005,Shinobi - Kampf auf Liebe und Tod (2005),7,9745,6420
2005,Welkkeom tu Dongmakgol (2005),7.9,3743,7980
2005,The Machinist: Breaking the Rules (Video 2005),7.1,115,1860
2006,Malamaal Weekly (2006),6.7,2077,
1947,Ein Mensch verschwindet (1947),7.2,3683,6000
2008,Amusement (2008),5.2,7644,5100
1981,Super Bowl XV (TV Movie 1981),6.6,28,
2011,Extrem laut und unglaublich nah (2011),6.9,63516,7740
2006,Nachts im Museum (2006),6.3,162436,6480
2001,Ben Kingsley Talks About 'Gandhi' (Video 2001),6.9,19,1140
2005,Café Transit (2005),7.5,1364,6300
2005,James Lipton Takes on Three (Video 2005),5.8,40,1500
1947,Desert Fury (1947),6.8,615,5760
2008,21 (2008),6.8,158895,7380
2007,Im Tal von Elah (2007),7.2,52980,7260
2007,Beim ersten Mal (2007),7.1,240589,7740
2006,Zidane - Ein Porträt im 21. Jahrhundert (2006),6.4,2103,5400
2006,Special (2006),7,4414,4860
2006,Crónica de una fuga (2006),7.3,2413,6180
2007,Chasing Ghosts: Beyond the Arcade (2007),7.2,926,5400
1947,Desperate (1947),6.9,1027,4380
2006,Crank (2006),7,155581,5280
2008,Madagascar 2 (2008),6.8,96824,5340
2007,Dan - Mitten im Leben! (2007),6.8,76007,5880
2010,The Losers (2010),6.4,62886,5820
2005,Ban the Sadist Videos! (Video 2005),7.4,184,3120
1978,Death on the Nile: Making of Featurette (TV Short 1978),8.1,59,1320
2011,Alles erlaubt - Eine Woche ohne Regeln (2011),5.9,87157,6300
2004,Slaves and Ensigns: The Far Side of the Border (2004),7.1,10,900
2007,Rezept zum Verlieben (2007),6.3,49254,6240
2005,The Virgin Queen (TV Mini-Series 2005),7.8,1476,14220
2008,Harold & Kumar - Flucht aus Guantanamo (2008),6.7,96659,6840
2003,J.R.R. Tolkien: Origins of Middle-Earth (Video 2003),7.2,45,
2007,Jugend ohne Jugend (2007),6.3,10090,7440
2006,Die zauberhafte Welt der Beatrix Potter (2006),7,20306,5520
2008,The Strangers (2008),6.2,74057,5160
1947,Angelockt (1947),7,1276,6120
2006,Lung Fu Moon (2006),6.2,4413,5640
2004,Cinecittà: La casa di F. Fellini (Video 2004),5,8,240
2007,The Good Night (2007),5.9,6853,5580
2005,Kismet (2005),7.1,13,240
2000,The Fly Papers: The Buzz on Hollywood's Scariest Insect (TV Movie 2000),6.6,16,3480
2007,Salaam-E-Ishq (2007),5.1,3475,12960
2007,The Air I Breathe - Die Macht des Schicksals (2007),7,29289,5700
2006,Battle of Kingdoms - Festung der Helden (2006),6.8,2846,7980
1947,Das Wunder von Manhattan (1947),7.9,24390,5760
2006,Rob-B-Hood (2006),6.7,6556,8160
2012,Red Tails (2012),5.9,23547,7500
2004,A Look Inside 'Eternal Sunshine of the Spotless Mind' (TV Movie 2004),5.4,110,720
2007,Die Gebrüder Weihnachtsmann (2007),5.6,25419,6960
2005,Who's on First: The Movie (2005),8.2,57,300
2007,Disturbia - Auch Killer haben Nachbarn (2007),6.9,159906,6300
2005,Memories of 'The Bodyguard' (Video 2005),7.2,11,1620
2007,Born to be wild - Saumäßig unterwegs (2007),5.9,85310,6000
2005,10 Year Retrospective: Cast and Crew Look Back (Video 2005),7.2,25,1500
2006,Omkara (2006),8.1,6781,9300
2005,Always san-chôme no yûhi (2005),7.8,1385,7980
2005,I Love the 80's 3-D (TV Series 2005– ),7.8,322,
2007,Chapter 27 (2007),5.7,7194,5040
2006,I-See-You.Com (2006),5.6,2356,5520
2008,Jumper (2008),6,190441,5280
2007,Nanny Diaries (2007),6.1,38813,6360
1947,Der Scharlatan (1947),7.8,4190,6600
2006,Once in a Lifetime: The Extraordinary Story of the New York Cosmos (2006),7.2,1103,5820
2008,Stop-Loss (2008),6.5,15892,6720
1958,På ære og samvittighet (TV Series 1958– ),,,
2005,Lars von Trier Anecdotes (2005),5,8,1020
2005,Bullets Over Hollywood (TV Movie 2005),7.2,114,
2006,Psych (TV Series 2006– ),8.5,52900,3600
2006,DVD (2006),7,108,1020
2006,Hannah Montana (TV Series 2006–2011),4.5,22771,1380
2006,This Film Is Not Yet Rated (2006),7.6,22185,5880
1947,Ausgestoßen (1947),7.8,4687,6960
2010,Schwesterherzen - Ramonas wilde Welt (2010),6.7,10918,6180
2008,Tintenherz (2008),6.1,48141,6360
2000,Shikaar (2000),2.8,19,
2006,Ssa-i-bo-geu-ji-man-gwen-chan-a (2006),7.1,14814,6300
2007,Furnace (2007),3.9,556,5400
1999,Gex 3: Deep Cover Gecko (Video Game 1999),8,48,
2008,Vicky Cristina Barcelona (2008),7.2,150056,5760
1925,Die lustige Witwe (1925),8.2,1573,8220
2006,El Mascarado Massacre (2006),4.6,954,4500
2006,Shi gan (2006),7.3,8060,5820
2007,Helden der Nacht (2007),6.9,63880,7020
2008,Die Chroniken von Narnia - Prinz Kaspian von Narnia (2008),6.6,111261,9000
1998,L.A. Confidential: Off the Record... (Video 1998),6.9,63,1140
2007,Reno 911!: Miami (2007),5.9,21865,5040
2007,War (2007),6.2,59655,6180
2005,Great Performances: Dance in America 'Swan Lake' with American Ballet Theatre (TV Episode 2005),8.5,38,7020
1998,Serial Experiments Lain (TV Series 1998– ),8.3,4531,1440
1983,Das A-Team A Small and Deadly War (TV Episode 1983),7.6,132,3600
1984,Das A-Team Curtain Call (TV Episode 1984),7.1,96,2940
1994,The All New Alexei Sayle Show Episode #1.1 (TV Episode 1994),,,1800
1975,All in the Family Mike Faces Life (TV Episode 1975),7.5,31,1800
1998,Ally McBeal The Inmates (TV Episode 1998),7.4,60,2700
2000,Angel - Jäger der Finsternis Judgment (TV Episode 2000),7.7,467,2580
1998,Animaniacs Hurray for North Hollywood: Part 1 (TV Episode 1998),8.5,23,1320
1995,Animaniacs Variety Speak/Three Tenors and You're Out/Bingo (TV Episode 1995),7.8,23,1320
2003,Aqua Teen Hunger Force Universal Remonster (TV Episode 2003),8.2,85,900
1983,Automan The Great Pretender (TV Episode 1983),7,7,3600
2005,Battlestar Galactica Flight of the Phoenix (TV Episode 2005),7.8,819,3600
1800,Becker He Said\,http://www.imdb.com/title/tt0520589/,7.2,22
1992,The Ben Stiller Show With Sarah Jessica Parker (TV Episode 1992),6.4,23,1800
1976,The Benny Hill Show Murder on the Oregon Express (TV Episode 1976),7.4,14,1800
1968,Verliebt in eine Hexe I Confess (TV Episode 1968),8,34,1800
2002,Biography The Barrymores (TV Episode 2002),8.5,46,6000
1990,Birds of a Feather Sweet Smell of Success (TV Episode 1990),7.4,7,4500
1947,The Red House (1947),6.9,1517,6000
1998,Buffy - Im Bann der Dämonen Becoming: Part 2 (TV Episode 1998),9,1540,2640
